ARTICLE_ID	IMAGE_PATH	AES_KEY_B64	PAYLOAD_LEN
sample_088	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_088.png	KtTXrP5jgCNCCFbQMPfEBA==	955
sample_089	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_089.png	KiVKh1ESUKAxVNU7E5mtcw==	822
sample_090	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_090.png	5ARD6bpKEvjU6mGX9shysg==	864
sample_091	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_091.png	S1+unygIAjViK3MujjBAzQ==	1126
sample_092	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_092.png	S3sOe8r+OtdK5ojJzd7Kzg==	589
sample_093	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_093.png	eTqsKa1TDoBjyEb/mab6ww==	966
sample_094	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_094.png	WFkBsQgHyNCMgqQ4Gos8BA==	1032
sample_095	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_095.png	5xvkfHyufH2pwXQVPIH74A==	937
sample_096	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_096.png	jfzWLFGaKsrOWD+doM9nSQ==	559
sample_097	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_097.png	aXMvEzUrposM/h94pvhqzg==	1113
sample_098	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_098.png	FlaZKgjUFA1t3+pon3mSGQ==	799
sample_099	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_099.png	kDSPhZ4hOxtbEfKYyFVjWQ==	913
sample_100	/home/liqinuo/Escape_LLM/LBSlist/encoded_images1/sample_100.png	0GO8KAH1fBch6wXtA0wNvQ==	885
